Low,Healthy_body,Healthy_mind,Knowl&achiev,Social_life,Dreams,Decison
0.47222222222222215,0.3586206896551724,0.44,0.21333333333333335,0.3333333333333333,0.26666666666666666,a_go_low
0.6319444444444444,0.6482758620689655,0.41333333333333333,0.49333333333333335,0.6800000000000002,0.48000000000000004,c_go_healthy_mind
0.5972222222222222,0.6275862068965518,0.31333333333333335,0.43333333333333335,0.6266666666666667,0.36666666666666664,a_go_low
0.6041666666666666,0.6827586206896552,0.3533333333333334,0.4,0.6799999999999999,0.2733333333333333,c_go_healthy_mind
0.8125000000000001,0.7862068965517242,0.5133333333333333,0.47333333333333333,0.5866666666666667,0.3866666666666667,d_knowl&achiev
0.5277777777777777,0.393103448275862,0.5533333333333333,0.5933333333333334,0.9066666666666666,0.7866666666666667,b_go_healthy_body
0.7916666666666669,0.8275862068965517,0.5866666666666667,0.7333333333333333,0.8933333333333333,0.6866666666666666,f_dreams
0.5,0.39310344827586213,0.36000000000000004,0.6466666666666666,0.4666666666666667,0.7933333333333333,a_go_low
0.6666666666666666,0.41379310344827586,0.4933333333333333,0.7200000000000001,0.42666666666666664,0.7200000000000001,b_go_healthy_body
0.6736111111111112,0.6896551724137929,0.43333333333333335,0.12000000000000001,0.8666666666666667,0.20666666666666664,c_go_healthy_mind
0.6388888888888887,0.6896551724137929,0.22000000000000003,0.48000000000000004,0.2866666666666667,0.2933333333333333,c_go_healthy_mind
0.34722222222222227,0.28965517241379307,0.21333333333333335,0.3466666666666667,0.34,0.21333333333333335,a_go_low
0.6597222222222221,0.6620689655172413,0.5000000000000001,0.6333333333333333,0.6133333333333333,0.6733333333333333,f_dreams
0.6250000000000001,0.5172413793103449,0.6333333333333333,0.48000000000000004,0.5266666666666667,0.5,b_go_healthy_body
0.47222222222222227,0.2827586206896551,0.36666666666666664,0.28,0.4933333333333333,0.5466666666666666,a_go_low
0.4930555555555555,0.39310344827586213,0.47333333333333333,0.58,0.8266666666666667,0.7733333333333333,a_go_low
0.5277777777777778,0.3310344827586207,0.4933333333333333,0.5533333333333332,0.6199999999999999,0.39999999999999997,a_go_low
0.6458333333333333,0.5103448275862069,0.5733333333333334,0.4533333333333333,0.7733333333333333,0.36666666666666664,f_dreams
0.7083333333333333,0.5448275862068966,0.48666666666666664,0.7333333333333333,0.7066666666666668,0.74,f_dreams
0.6666666666666666,0.6344827586206897,0.5999999999999999,0.52,0.8666666666666667,0.5866666666666667,f_dreams
0.3194444444444444,0.22068965517241385,0.3533333333333334,0.3466666666666666,0.6,0.5266666666666666,a_go_low
